Title,Date
"Sötétség: 1. évad: Titkok","2020. 07. 12."
"Marvel Vasököl: 2. évad: Összecsapás","2020. 07. 12."
"Marvel Vasököl: 1. évad: A hó utat enged","2020. 07. 12."
"Marvel Vasököl: 2. évad: Vég nélküli háború","2020. 07. 12."
"Dinasztiák: 2. évad: Kígyók között","2020. 07. 12."
"Marvel Vasököl: 2. évad: Egy lépésre a bosszútól","2020. 07. 12."
"Riverdale: 2. évad: Huszonhatodik fejezet: Árulkodó szív","2020. 07. 12."
"Marvel Vasököl: 2. évad: Kétségek vihara","2020. 07. 12."
"Riverdale: 2. évad: Huszonötödik fejezet: A gonosz és az isteni","2020. 07. 12."
"Riverdale: 2. évad: Huszonnegyedik fejezet: A birkózó","2020. 07. 12."
"Riverdale: 2. évad: Huszonharmadik fejezet: Az iskolai dzsungel","2020. 07. 12."
"Riverdale: 2. évad: Huszonkettedik fejezet: Csendes éj, halálos éj","2020. 07. 12."
"Marvel Vasököl: 2. évad: A sárkány hajnalban meghal","2020. 07. 11."
"Riverdale: 2. évad: Huszonegyedik fejezet: Az ördög háza","2020. 07. 11."
"Riverdale: 2. évad: Huszadik fejezet: Történetek a sötét oldalról","2020. 07. 11."
"Marvel Vasököl: 2. évad: A sárkány szíve","2020. 07. 11."
"Marvel Vasököl: 2. évad: A célpont: Vasököl","2020. 07. 11."
"CTRL + Z: 1. évad: Közellenség","2020. 07. 10."
"CTRL + Z: 1. évad: Control Z","2020. 07. 10."
"CTRL + Z: 1. évad: Mennyire ismered Javiert?","2020. 07. 10."
"CTRL + Z: 1. évad: Szemtől szemben","2020. 07. 10."
"CTRL + Z: 1. évad: Esti iskola","2020. 07. 10."
"Tökéletes hang","2020. 07. 10."
"Sabrina hátborzongató kalandjai: 1. évad: Első fejezet: Októberi vidék","2020. 07. 10."
"Marvel Vasököl: 2. évad: Ez a halálos titok...","2020. 07. 09."
"Riverdale: 2. évad: Tizenkilencedik fejezet: Holtbiztos","2020. 07. 09."
"Marvel Vasököl: 2. évad: Ez a város nem fog égni","2020. 07. 09."
"Riverdale: 2. évad: Tizennyolcadik fejezet: Amikor egy idegen jelentkezik","2020. 07. 09."
"Riverdale: 2. évad: Tizenhetedik fejezet: A város, amelyik félt a naplementétől","2020. 07. 09."
"Marvel Vasököl: 2. évad: Vasököl haragja","2020. 07. 08."
"Riverdale: 2. évad: Tizenhatodik fejezet: Az erdei megfigyelő","2020. 07. 08."
"Marvel Vasököl: 1. évad: A sárkány a tűzzel játszik","2020. 07. 07."
"Marvel Vasököl: 1. évad: Tiltsd ki a nagyfőnököt","2020. 07. 07."
"Marvel Vasököl: 1. évad: Lovat az istállóba","2020. 07. 07."
"CTRL + Z: 1. évad: Félkegyelműek","2020. 07. 07."
"CTRL + Z: 1. évad: Áldozatok","2020. 07. 06."
"CTRL + Z: 1. évad: A szülinapos","2020. 07. 06."
"Fekete tükör: 5. évad: Striking Vipers","2020. 07. 06."
"Hazug csajok társasága: 1. évad: Zűrös ügyek","2020. 07. 06."
"A Sötét Kristály – Az ellenállás kora: 1. évad: Vég. Kezdet. Egy és ugyanaz.","2020. 07. 06."
"Riverdale: 2. évad: Tizenötödik fejezet: Éjjeli baglyok","2020. 07. 05."
"Riverdale: 2. évad: Tizennegyedik fejezet: Az utolsó csók","2020. 07. 05."
"Riverdale: 1. évad: Tizenharmadik fejezet: Túlvilági béke","2020. 07. 05."
"A telhetetlen: 1. évad: A vékonyság varázslata","2020. 07. 05."
"A ki***tt világ vége: 1. évad: 1. epizód","2020. 07. 05."
"Ez így nem oké: 1. évad: A legsötétebb titok","2020. 07. 04."
"Ez így nem oké: 1. évad: Apja lánya","2020. 07. 04."
"Marvel Vasököl: 1. évad: Fekete tigris-támadás","2020. 07. 04."
"Marvel Vasököl: 1. évad: Minden agónia úrnője","2020. 07. 04."
"Marvel Vasököl: 1. évad: Gyökerestül kitépett fa","2020. 07. 04."
"Ez így nem oké: 1. évad: Újabb nap a Paradicsomban","2020. 07. 04."
"Ez így nem oké: 1. évad: Stan és én","2020. 07. 04."
"Ez így nem oké: 1. évad: A bulinak vége","2020. 07. 04."
"Tűzforró talaj: 1. évad: A pince: 1. szint","2020. 07. 04."
"Riverdale: 1. évad: Tizenkettedik fejezet: Egy gyilkosság anatómiája","2020. 07. 04."
"Riverdale: 1. évad: Tizenegyedik fejezet: Riverdale-be és vissza","2020. 07. 04."
"Ez így nem oké: 1. évad: Az egyszeri alkalom","2020. 07. 03."
"Ez így nem oké: 1. évad: Kedves naplóm!","2020. 07. 03."
"Marvel Vasököl: 1. évad: A törések áldása","2020. 07. 03."
"Riverdale: 1. évad: Tizedik fejezet: Elveszett hétvége","2020. 07. 03."
"Sabrina hátborzongató kalandjai: 2. évad: Tizenhatodik fejezet: Blackwood","2020. 07. 03."
"Riverdale: 1. évad: Kilencedik fejezet: A nagy illúzió","2020. 07. 02."
"Az én környékemen: 3. évad: 28. fejezet","2020. 07. 01."
"Riverdale: 1. évad: Nyolcadik fejezet: A kívülállók","2020. 07. 01."
"Az én környékemen: 3. évad: 27. fejezet","2020. 07. 01."
"Az én környékemen: 3. évad: 26. fejezet","2020. 07. 01."
"Az én környékemen: 3. évad: 25. fejezet","2020. 07. 01."
"Az én környékemen: 3. évad: 24. fejezet","2020. 06. 30."
"Az én környékemen: 3. évad: 23. fejezet","2020. 06. 30."
"Az én környékemen: 3. évad: 22. fejezet","2020. 06. 30."
"Riverdale: 1. évad: Hetedik fejezet: Magányos helyen","2020. 06. 30."
"Az én környékemen: 3. évad: 21. fejezet","2020. 06. 30."
